VendorID,VendorName,Country,MaterialID,ContactNumber,Status
V001,"Rodrigueh, Figueroa and Sanchez",China,M108,-2458700,Inactive
V002,Carterh Fuller and Mcclure,Japan,M138,-4336612,Inactive
V003,Rios GroupLtd,UAE,M100,848.018.4514x627,Inactive
V004,Mckay Ltd Ltd.,UK,M106,,Inactive
V005,Lam-Hayes-Group,USA,M146,001-737-631-1656,Active
V006,Owens-Daniel-Corp,South Korea,M123,+1-106-513-3387x2624,Blacklisted
V007,Phillips IncPLC,Germany,M114,+1-998-543-5346x24751,Blacklisted
V008,Ellis PLC Inc.,UK,M113,-2198222,Blacklisted
V009,"Henderson, Hill and Smith",China,M110,-5529400,Active
V010,Brennan-Garrison Inc.,USA,M114,965-569-8169,Inactive
V011,Scott Ltd,South Korea,M145,001-468-044-3699,Blacklisted
V012,"Morris, Ramos and Lowe LLC",India,M115,-5408650,Inactive
V013,"Stewart, Fischer and Ramos-Group",China,M108,687.277.4348x73471,Active
V014,Evans-Price,France,M138,-7402994,Inactive
V015,Ramirez-Bean-Corp,Japan,M100,-2922609,Inactive
V016,"Burke, Martinez and Riggs Inc.",France,M110,-5418978,Active
V017,White-Lewis-Corp,UAE,M140,1.44E+11,Inactive
V018,Rodgers LLC,Japan,M100,001-894-134-3524,Active
V019,Hernandez PLC Inc.,UAE,M115,318-699-9386,Blacklisted
V020,Mann-Warner LLC,Japan,M149,-8974129,Active
V021,Key Ltd Ltd.,South Korea,M127,,Inactive
V022,Gutierrez-Lopez Inc.,Japan,M128,+1-770-348-2477x109,Inactive
V023,"Francis, Taylor and Jones",China,M137,840-449-9727x87558,Active
V024,"Booker, Jones and Harrington",UK,M104,(238)692-2219x69379,Active
V025,Hall Ltd-Corp,South Korea,M136,+1-640-909-7439x53394,Active
V026,"Campos, Saundlrs and Becker",France,M126,+1-104-709-5214x5623,Active
V027,Richardson-Curry Co.,Germany,M115,-10113,Active
V028,Gilbert-Crosby Co.,Brazil,M115,5377351585,Blacklisted
V029,Ramirez and Sons-Corp,Germany,M148,783-908-4700,Inactive
V030,Boone-SimmonsInc,USA,M110,,Inactive
V031,Reynolds Ltd Ltd.,Japan,M142,5.20E+12,Inactive
V032,Bell-Whiteand Sons,South Korea,M147,001-612-018-3667,Active
V033,Gregory-Watkins-Group,Japan,M110,7.62E+12,Active
V034,Stevensm Norris and Cox-Group,Germany,M136,-1667414,Active
V035,Lin-Burton Co.,South Korea,M133,,Active
V036,"Thompson, Wright and Kim Ltd.",UAE,M129,892.554.6659x05151,Inactive
V037,White-Lewis-Group,Germany,M104,,Active
V038,Strickland-Shaw Inc.,China,M123,-8351741,Blacklisted
V039,Mitchell Group Ltd.,Japan,M100,(779)010-4328,Active
V040,Lopez-Barnett Ltd.,Germany,M147,,Blacklisted
V041,Hays-DanielsLLC,China,M143,-5429805,Inactive
V042,"Simmons, Norris and Bell Ltd.",USA,M105,001-596-401-6582x0297,Active
V043,"Hughes, Hoffman and Green Inc.",UAE,M110,-8175852,Active
V044,"Henson, Jones and Sanders",Japan,M102,414.384.2498x18299,Active
V045,Jackson PLC,USA,M122,+1-590-010-9439x690,Inactive
V046,Allen-Martinez-Corp,France,M139,3.28E+12,Active
V047,"Smith, Rodriguez and Ankerson Co.",France,M142,,Active
V048,"Bryant, Obrien and Robertson",USA,M130,,Inactive
V049,"Vaughan, Rodriguez and SmithLLC",China,M125,,Inactive
V050,"Hill, Martinez and Rhodes-Corp",Japan,M121,2.20E+12,Blacklisted
V051,"Andrews, Nichols ann Sharp Ltd.",UK,M146,(620)672-4004,Inactive
V052,"Prince, Wilcox and Robertson-Group",USA,M145,-9722860,Blacklisted
V053,"Petersen, Gill and BeckerPLC",Germany,M142,878-519-1088,Blacklisted
V054,Velasquez-Reese Ltd.,France,M120,-5961032,Active
V055,Patel-Morrowand Sons,France,M143,395-995-3428x3644,Blacklisted
V056,Hawkins PLC,China,M127,(882)634-3517x51830,Inactive
V057,Bennett-Jacobs LLC,Japan,M130,,Blacklisted
V058,Hart and Sons-Group,China,M143,6.94E+12,Active
V059,Taylor-Mccoy,Brazil,M139,(339)845-4615,Blacklisted
V060,Stevens-Sanchez-Group,France,M131,410.166.6870,Active
V061,Evans PLC Co.,Japan,M129,001-685-621-8501,Inactive
V062,James Ltd,Japan,M135,-8425496,Blacklisted
V063,Adams-Thomas-Corp,Japan,M128,+1-375-265-4793x564,Inactive
V064,Diaz-Frederickand Sons,UAE,M149,,Inactive
V065,"Ortega, Jackson and Salazar",China,M117,5.68E+12,Active
V066,Kim LtdGroup,India,M145,(033)419-1825x5371,Inactive
V067,Lambert-Burns-Corp,USA,M113,-1328135,Inactive
V068,LopezjGroup LLC,France,M126,279-788-1914x8580,Active
V069,"Alexander, Robinson and Coleman Ltd.",USA,M124,2.92E+12,Inactive
V070,Juarez Ltd,Japan,M101,294.667.1168x4577,Blacklisted
V071,Bryant-Braun Co.,Brazil,M111,,Active
V072,Ibarra-Taylor LLC,France,M117,,Active
V073,"Lopez, Myers and bucas LLC",UK,M114,613.791.8055x2696,Active
V074,Mccann and SonsPLC,South Korea,M109,691-463-0316x17990,Blacklisted
V075,"Jones, Gibson and WardGroup",UAE,M149,3.08E+11,Inactive
V076,Brock Inc,UAE,M136,9.49E+12,Active
V077,Kaufman and Sons-Group,China,M106,-6060518,Active
V078,Herrera and Sons-Group,UK,M134,741-124-9035x2135,Blacklisted
V079,"Willis, Lowerp and Jones Inc.",Germany,M127,6.71E+12,Inactive
V080,Ramirez and Sons,UAE,M139,001-932-133-4803x96522,Inactive
V081,Watkins Ltd-Group,China,M105,250-029-2185x15691,Blacklisted
V082,Turner-Taylor-Group,UK,M101,9.69E+11,Inactive
V083,Clark-SteeleLLC,UAE,M121,-5635691,Active
V084,Brown LLC-Corp,Germany,M115,-9197399,Active
V085,"Stephens, Lopez and Mcclure LLC",Brazil,M128,1.16E+12,Inactive
V086,Thompson-Joyceand Sons,South Korea,M123,,Inactive
V087,Reyes-Washington-Corp,Brazil,M117,024.629.9606x5307,Blacklisted
V088,Collins PLCGroup,Japan,M148,5.35E+12,Blacklisted
V089,Nash and Sons LLC,South Korea,M148,+1-334-680-0722x9034,Active
V090,Rogers LLC Ltd.,India,M119,6.66E+12,Inactive
V091,Garner LLC,Japan,M118,549-471-7099x91738,Active
V092,Anderson Group-Group,Brazil,M128,,Inactive
V093,Walker and Sons,France,M131,16761847230,Active
V094,Jimenez PLC-Group,Germany,M115,-7982896,Blacklisted
V095,Alvarado and Sons-Group,Japan,M124,-5989252,Inactive
V096,"Edwards, Bush and Gregory Ltd.",USA,M139,6.29E+12,Inactive
V097,Gates Group,India,M135,571.130.5548x8510,Inactive
V098,Vasquez Ltd-Group,USA,M114,001-782-922-1699,Active
V099,Gordon-CruzPLC,South Korea,M142,-2926135,Active
V100,Santiago and Sons,India,M104,-6161130,Blacklisted
V101,Moss Inc-Group,Brazil,M107,001-583-281-8268x861,Inactive
V102,Walker-Lewis-Corp,Brazil,M105,,Blacklisted
V103,Colemanv Garcia and Medina Ltd.,South Korea,M137,-5522524,Active
V104,Hubbard-Kim,Brazil,M117,(822)239-4312x90878,Active
V105,Roberts Inc LLC,UK,M120,,Inactive
V106,Arnold-Thompson LLC,France,M148,428-341-1080,Inactive
V107,Griffin and Sons Ltd.,France,M132,001-498-926-6591x8463,Active
V108,"Sullivan, Roth and ReedGroup",South Korea,M148,+1-082-723-1843x222,Active
V109,Brown LLC Ltd.,UAE,M128,699.041.3797x72369,Blacklisted
V110,Rich PLC-Group,India,M119,001-117-298-0686x50863,Active
V111,Pena-Watts,Germany,M141,-5897214,Blacklisted
V112,Oconnell-Smith Ltd.,Brazil,M130,309-883-9205x3021,Active
V113,Chan-Gomez-Group,India,M104,,Blacklisted
V114,Olson LLC Ltd.,UAE,M146,8.28E+12,Inactive
V115,Duran PLC-Corp,UK,M135,003-691-5594x28434,Inactive
V116,Mullen-Cooperand Sons,China,M136,636.556.4729x2931,Inactive
V117,Woods-Soto LLC,France,M124,+1-569-961-1253x5544,Active
V118,"Newman, Nelson and Wallace",South Korea,M121,001-987-622-0234x1326,Blacklisted
V119,Jonnson LLC LLC,India,M104,,Blacklisted
V120,Cannon LLC Co.,UK,M143,122.417.9749,Blacklisted
V121,Lopez-Smith,China,M140,-7493,Inactive
V122,Villegas Ltd,Germany,M128,(730)371-8376x4520,Active
V123,Porter Ltd Inc.,UAE,M122,5.24E+12,Blacklisted
V124,Phillips-Baker Co.,India,M110,-7418185,Blacklisted
V125,"Huff, Barrett and FoxLtd",South Korea,M109,811.386.3383,Inactive
V126,"Garrett, White and Curry",Brazil,M118,001-195-761-2286x8528,Inactive
V127,Evans and Sons Inc.,UAE,M140,(791)940-9610,Inactive
V128,Bailey-MontoyaGroup,Brazil,M106,-7022794,Inactive
V129,Ayala-Andersov Ltd.,France,M117,-1823502,Blacklisted
V130,Todd Inc LLC,UAE,M149,3.88E+12,Blacklisted
V131,Smith LtdGroup,India,M140,,Inactive
V132,Sandoval-Miller,India,M105,2.48E+12,Active
V133,Rodriguez and Sons,UK,M133,,Inactive
V134,"Holloway, Cortez and Long Ltd.",UK,M107,8.68E+11,Blacklisted
V135,Morris-Johnson Co.,Japan,M123,001-371-452-1117,Inactive
V136,"Cannon, Smith and Jimenez-Corp",UK,M143,-5399030,Inactive
V137,"Mitchell, Guerrero and Graves Inc.",China,M130,-6503762,Active
V138,Fox-Carney,Brazil,M144,(997)877-2934,Active
V139,Foster-Carroll,UAE,M131,-4939474,Active
V140,Hancock LLC Co.,Japan,M126,001-521-823-0768x10409,Blacklisted
V141,Cook Inc,South Korea,M126,2.41E+12,Inactive
V142,Ruiz Ltd LLC,UK,M106,601-662-9979,Inactive
V143,Alvarez LLC Ltd.,Germany,M129,-4559311,Active
V144,Nguyen-Davis,China,M108,-2151324,Active
V145,"Downs, Powell and Anderson-Group",China,M121,,Active
V146,Griffith Group,India,M107,3.27E+12,Active
V147,"Miller, Wu and Davis Inc.",China,M137,,Active
V148,York LLC,Japan,M107,663.723.9504x1027,Inactive
V149,Alvarez-Alvarez-Corp,Brazil,M132,-1728244,Inactive
V150,Smith Inc LLC,USA,M103,471-746-5421x406,Blacklisted
V151,Cook-Brown,Brazil,M104,(717)396-2712,Active
V152,Anthony-Norman Ltd.,South Korea,M135,-7390855,Blacklisted
V153,Price-Sparks Ltd.,South Korea,M127,-2920448,Blacklisted
V154,Larson-GilbertInc,China,M126,902.196.2071,Inactive
V155,Smith Inc,UK,M142,195.883.7340x31277,Active
V156,Moore Inc,Germany,M127,7.81E+12,Blacklisted
V157,Robinson PLC,Japan,M135,(929)831-6873,Inactive
V158,"Wells, Ford and Smith Co.",USA,M118,001-335-693-9290x6007,Blacklisted
